TYPE	ID	TITLE	YEAR	SOURCE	TRANSCRIPT
Document	program_sri_1961	Program on Human Effectiveness	1961	https://drive.google.com/open?id=0B979i_9iBTwnUjU4N01yME5Ock0	https://drive.google.com/open?id=0B979i_9iBTwnUjU4N01yME5Ock0
Document	pub_research_1962	Augmenting Human Intellect: A Conceptual Framework	1962	http://www.dougengelbart.org/pubs/papers/scanned/Doug_Engelbart-AugmentingHumanIntellect.pdf	
Document	file_personal_1963	Binary-Keyset Code	1963	https://drive.google.com/open?id=0B979i_9iBTwnQnVxU2pSNjIweWs	https://drive.google.com/open?id=0B979i_9iBTwnQnVxU2pSNjIweWs
Document	file_research_1963	Preliminary thoughts on using our computer facilities to help us in our computer programming activities	1963	https://drive.google.com/open?id=0B979i_9iBTwnYmRvNFlucTNkN2M	https://drive.google.com/open?id=0B979i_9iBTwnYmRvNFlucTNkN2M
Document	file_research_1963	Records, Skill, and our Research Planning 	1963	https://drive.google.com/open?id=0B979i_9iBTwndG11T0lvclQyeEU	https://drive.google.com/open?id=0B979i_9iBTwndG11T0lvclQyeEU
Document	correspondence_research_1967	RCA Computer Seminar Correspondence	1967	https://drive.google.com/open?id=0B979i_9iBTwnem9jaHZsZ3h2WUk	https://drive.google.com/open?id=0B979i_9iBTwnem9jaHZsZ3h2WUk
Document	pub_research_1967	Display-Selection Techniques for Text Manipulation	1967	http://www.dougengelbart.org/pubs/augment-133184.html	
Video	demo_fjcc_1968	Mother of All Demos	1968	https://www.youtube.com/watch?v=yJDv-zdhzMY	https://drive.google.com/open?id=0B979i_9iBTwnZ3ZIN1pJY3BuODg
Video	workshop_acm_1986	Augmented Knowledge Workshop	1986	https://archive.org/details/XD302_86ACM_Prese_AugKnowledgeWorkshopParts1and2	https://drive.google.com/open?id=0B979i_9iBTwnZXRsMFlWdWtIMjA
Video	demo_stanford_1987	Demo of Augment System	1987	https://archive.org/details/XD1940_87_DescripDemoAugmentSys	
Video	colloquium_cscw_1988	CSCW-88 Colloquium	1988	https://archive.org/details/XD1931_88CSCWColloquium1	
Video	keynote_interop_1989	Interop-89 Keynote	1989	https://archive.org/details/XD1907_89Interop-89GenSes1KeynoteSpkr	
Video	lecture_mitre_1990	Co-evolution of Technology and Organizations	1990	https://archive.org/details/XD1933_90MItreCoEvolofTechandOrg	
Video	demo_norton_1990	Nortonâ€™s Augment Handbook Demo	1990	https://archive.org/details/XD1719_90AugmentHandbk.cdr	
Video	lecture_stanford_1990	Stanford Forum on Engineer Economic Systems	1990	https://archive.org/details/XD1938_90StanfordForumEngEcoSystems	
Video	interview_seybold_1991	Engelbart/Seybold, Together We Can Get There	1991	https://archive.org/details/XD305-1_91EngelbartSeybold.cdr	
Video	demo_xerox_1991	High Performance Knowledge Work	1991	https://archive.org/details/XD317_1991HighPerfKnwldgeWorkUsernterfacesEntWideArchPt1	
Video	seminar_bootstrap_1991	Bootstrap Seminar 1991	1991	https://archive.org/details/XD1908_91BIBootstrapSemDay1Ses1	
Video	seminar_bootstrap_1992	Bootstrap Seminar 1992	1992	https://archive.org/details/XD1922_92BootstrapSemDay1Ses1	
Video	lecture_ieee_1993	Computer Pioneer Award and Distinguished Lecture	1993	https://archive.org/details/XD318_93CompPioneerAward	https://drive.google.com/open?id=0B979i_9iBTwnaWI1WGZMWVo3ZDQ
Video	lecture_bbn_1994	ARPANET Anniversary Lecture	1994	https://archive.org/details/XD1298_1994BBN_ScienceDevProg	
Video	interview_smithsonian_1994	Douglas Engelbart Oral History	1994	http://www.dougengelbart.org/history/exhibits.html	http://americanhistory.si.edu/comphist/englebar.htm
Video	seminar_bootstrap_1995	Bootstrap Seminar 1995	1995	https://archive.org/details/XD320_95BootstrapSeminar	
Video	interview_jcn_1995	JCN Profiles: Visionary Leaders of the Information Age	1995	https://archive.org/details/XD304_95JCNProfile-nobreaks	
Video	lecture_ucsb_1995	Keynote Lecture at UCSB Glen Culler Honorary Lecture Event	1995	https://archive.org/details/XD309_95keynoteLec_BoostingCollIQ_UCSBGlenCuller	
Video	symposium_mit_1995	Vannevar Bush Symposium	1995	https://archive.org/details/XD1941_1_95VannevarBushSymTape2_DougEngelbart	https://drive.google.com/open?id=0B979i_9iBTwndmxtSjE2MksyQzg
Video	ceremony_mit_1997	Lemelson-MIT Awards Ceremony and Reception - Celebrating American Invention and Innovation	1997	https://archive.org/details/XD316_XD316-2_XD1753_97LemelsonMITAwards_PrizeCer	
Video	lecture_cscw_1998	Turing Award Lecture	1998	https://archive.org/details/XD1762_98ACMTuringAwardLect	
Video	symposium_stanford_1998	Unfinished Revolution	1998	https://archive.org/details/XD1901_1EngelbartsUnfinishedRev30AnnSess1	
Video	presentation_pg_1998	Engelbart/Garrett, Management Presentation	1998	https://archive.org/details/XD1757_98MangmtSystemsGlobleadership	https://drive.google.com/open?id=0B979i_9iBTwnelR4X3RjMXhfaXM
Video	interview_nihf_1998	NIHF Interview	1998	https://archive.org/details/XD1756_2_98NIHFInterviewRoughCut	
Video	keynote_stanford_1999	Boosting Collective IQ	1999	https://archive.org/details/XD1606_99_BoostingCollID	
Video	lecture_cadence_2000	Cadence Design Systems Distinguished Speaker - "Open-Source Approach to Large-Scale System Evolution for Collective Knowledge Work"	2000	https://archive.org/details/XD1607_2000DistSpkrSeries	
Video	interview_entrepreneur_2000	Silicon Valley Entrepreneur - An Interview With Doug Engelbart	2000	https://archive.org/details/XD1892_SilliconVllyInnovHistModComp	
Video	colloquium_stanford_2000	Engelbart Colloquium	2000	https://archive.org/details/000106EngelbartColloquiumPart1_201503	
Video	presentation_mmets_2001	Engelbart Talk to MMETS - "Facilitated Evolution of Collective IQ"	2001	https://archive.org/details/XD1717_2001WPAFB_EngelbartTalkMMETS	
Video	interview_times_2002	Douglas Engelbart Interviewed by John Markoff of the New York Times	2002	https://www.youtube.com/watch?v=VeSgaJt27PM	https://drive.google.com/open?id=0B979i_9iBTwnSHZFbzltSGFlZlU
Video	lecture_google_2004	Google, Collective IQ	2004	https://archive.org/details/XD1955_04GooglePresCollIQ	https://drive.google.com/open?id=0B979i_9iBTwnUEU4eVVqZ1pLX3M
Video	discussion_stanford_2008	Bootstrap Dialogs - Boosting Collective IQ Day #1-4	2008	https://archive.org/details/XD1951_08_Bootsrap	