YEAR	TYPE	TRANSCRIPT	ID	TITLE	SOURCE
1958	Document	.	1958_pub_datamation	Facets of the Technical Information Problem	http://www.dougengelbart.org/pubs/augment-133180.html
1961	Document	https://drive.google.com/open?id=0B979i_9iBTwnUjU4N01yME5Ock0	1961_program_sri	Program on Human Effectiveness	https://drive.google.com/open?id=0B979i_9iBTwnUjU4N01yME5Ock0
1962	Document	.	1962_pub_sri	Augmenting Human Intellect - A Conceptual Framework	http://www.dougengelbart.org/pubs/papers/scanned/Doug_Engelbart-AugmentingHumanIntellect.pdf
1963	Document	https://drive.google.com/open?id=0B979i_9iBTwnQnVxU2pSNjIweWs	*1963_file_personal	Binary-Keyset Code	https://drive.google.com/open?id=0B979i_9iBTwnQnVxU2pSNjIweWs
1963	Document	https://drive.google.com/open?id=0B979i_9iBTwnYmRvNFlucTNkN2M	*1963_file_research	Preliminary thoughts on using our computer facilities to help us in our computer programming activities	https://drive.google.com/open?id=0B979i_9iBTwnYmRvNFlucTNkN2M
1963	Document	https://drive.google.com/open?id=0B979i_9iBTwndG11T0lvclQyeEU	*1963_file_research	Records, Skill, and our Research Planning 	https://drive.google.com/open?id=0B979i_9iBTwndG11T0lvclQyeEU
1967	Document	https://drive.google.com/open?id=0B979i_9iBTwnem9jaHZsZ3h2WUk	*1967_correspondence_research	RCA Computer Seminar Correspondence	https://drive.google.com/open?id=0B979i_9iBTwnem9jaHZsZ3h2WUk
1967	Document	.	1967_pub_ieee	Display-Selection Techniques for Text Manipulation	http://www.dougengelbart.org/pubs/augment-133184.html
1967	Document	.	*1967_patent	X-Y Position Indicator for a Display System	http://web.stanford.edu/dept/SUL/library/extra4/sloan/MouseSite/Archive/patent/mousepatent.PDF
1968	Video	https://drive.google.com/open?id=0B979i_9iBTwnZ3ZIN1pJY3BuODg	1968_demo_fjcc	Mother of All Demos	https://www.youtube.com/watch?v=yJDv-zdhzMY
1968	Document	.	1968_pub_afips	A Research Center for Augmenting Human Intellect	http://www.dougengelbart.org/pubs/augment-3954.html
1970	Document	.	1970_pub_mcn	Intellectual Implications of a Multi-Access Computer Network	http://www.dougengelbart.org/pubs/augment-5255.html
1973	Document	.	1973_pub_ccc	Coordinated Information Services for a Discipline- or Mission-Oriented Community	http://www.dougengelbart.org/pubs/augment-12445.html
1973	Document	.	1973_pub_afips	Design Considerations for Knowledge Workshop Terminals	http://www.dougengelbart.org/pubs/augment-14851.html
1975	Document	.	1975_pub_compcon	NLS Teleconferencing Features: The Journal and Shared-Screen Telephoning	http://www.dougengelbart.org/pubs/augment-33076.html
1978	Document	.	1978_pub_jem	Toward Integrated, Evolutionary Office Automation Systems	http://www.dougengelbart.org/pubs/augment-71279.html
1982	Document	.	1982_pub_stanford	Evolving the Organization of the Future: A Point of View	http://www.dougengelbart.org/pubs/augment-80360.html
1982	Document	.	1982_pub_afips	Toward High-Performance Knowledge Workers	http://www.dougengelbart.org/pubs/augment-81010.html
1984	Document	.	1984_pub_afips	Collaboration Support Provisions in AUGMENT	http://www.dougengelbart.org/pubs/oad-2221.html
1984	Document	.	1984_pub_compcon	Authorship Provisions in AUGMENT	http://www.dougengelbart.org/pubs/oad-2250.html
1986	Video	https://drive.google.com/open?id=0B979i_9iBTwnZXRsMFlWdWtIMjA	1986_workshop_acm	Augmented Knowledge Workshop	https://archive.org/details/XD302_86ACM_Prese_AugKnowledgeWorkshopParts1and2
1987	Video	ORDER: expansion of nls	1987_demo_stanford	Demo of Augment System	https://archive.org/details/XD1940_87_DescripDemoAugmentSys
1988	Video	.	1988_colloquium_cscw	CSCW-88 Colloquium	https://archive.org/details/XD1931_88CSCWColloquium1
1988	Document	.	*1988_pub_byt	Working Together	http://dougengelbart.org/pubs/seminars/sembinder1992nov/R.pdf
1989	Video	ORDER: good transition, given names to his past inventions	1989_keynote_interop	Interop-89 Keynote	https://archive.org/details/XD1907_89Interop-89GenSes1KeynoteSpkr
1990	Video	higher level ideas 	1990_lecture_mitre	Co-evolution of Technology and Organizations	https://archive.org/details/XD1933_90MItreCoEvolofTechandOrg
1990	Video	.	1990_demo_norton	Nortonâ€™s Augment Handbook Demo	https://archive.org/details/XD1719_90AugmentHandbk.cdr
1990	Video	.	1990_lecture_stanford	Stanford Forum on Engineer Economic Systems	https://archive.org/details/XD1938_90StanfordForumEngEcoSystems
1990	Document	.	1990_pub_cscw	Knowledge-Domain Interoperability and an Open HyperDocument System	http://www.dougengelbart.org/pubs/augment-132082.html
1991	Video	interview looking back on career	1991_interview_seybold	Engelbart/Seybold, Together We Can Get There	https://archive.org/details/XD305-1_91EngelbartSeybold.cdr
1991	Video	calls nls "creaky old system", formalizations of his ideas	1991_demo_xerox	High Performance Knowledge Work: User Interfaces and Enterprise-Wide Architectures	https://archive.org/details/XD317_1991HighPerfKnwldgeWorkUsernterfacesEntWideArchPt1
1991	Video	.	1991_seminar_bootstrap	Bootstrap Seminar 1991	https://archive.org/details/XD1908_91BIBootstrapSemDay1Ses1
1992	Video	.	1992_seminar_bootstrap	Bootstrap Seminar 1992	https://archive.org/details/XD1922_92BootstrapSemDay1Ses1
1993	Video	https://drive.google.com/open?id=0B979i_9iBTwnaWI1WGZMWVo3ZDQ	1993_lecture_ieee	Computer Pioneer Award and Distinguished Lecture	https://archive.org/details/XD318_93CompPioneerAward
1994	Video	.	1994_lecture_bbn	ARPANET Anniversary Lecture	https://archive.org/details/XD1298_1994BBN_ScienceDevProg
1994	Video	http://americanhistory.si.edu/comphist/englebar.htm	1994_interview_smithsonian	Douglas Engelbart Oral History	http://www.dougengelbart.org/history/exhibits.html
1995	Video	teaching people about bootstrap	1995_seminar_bootstrap	Bootstrap Seminar 1995	https://archive.org/details/XD320_95BootstrapSeminar
1995	Video	.	1995_interview_jcn	JCN Profiles: Visionary Leaders of the Information Age	https://archive.org/details/XD304_95JCNProfile-nobreaks
1995	Video	.	1995_lecture_ucsb	Keynote Lecture at UCSB Glen Culler Honorary Lecture Event	https://archive.org/details/XD309_95keynoteLec_BoostingCollIQ_UCSBGlenCuller
1995	Video	https://drive.google.com/open?id=0B979i_9iBTwndmxtSjE2MksyQzg	1995_symposium_mit	Vannevar Bush Symposium	https://archive.org/details/XD1941_1_95VannevarBushSymTape2_DougEngelbart
1995	Document	.	*1995_pub_acm	Toward Augmenting Human Intellect and Boosting our Collective IQ	http://dougengelbart.org/pubs/papers/scanned-original/1995-augment-133188-Toward-Augmenting-Human-Intellect-and-Boosting-Collective-IQ.pdf
1995	Document	.	1995_pub_byte	Dreaming of the Future	http://www.dougengelbart.org/pubs/augment-133189.html
1997	Video	.	1997_ceremony_mit	Lemelson-MIT Awards Ceremony and Reception - Celebrating American Invention and Innovation	https://archive.org/details/XD316_XD316-2_XD1753_97LemelsonMITAwards_PrizeCer
1998	Video	.	1998_lecture_cscw	Turing Award Lecture	https://archive.org/details/XD1762_98ACMTuringAwardLect
1998	Video	.	1998_symposium_stanford	Unfinished Revolution	https://archive.org/details/XD1901_1EngelbartsUnfinishedRev30AnnSess1
1998	Video	https://drive.google.com/open?id=0B979i_9iBTwnelR4X3RjMXhfaXM	1998_presentation_pg	Engelbart/Garrett, Management Presentation	https://archive.org/details/XD1757_98MangmtSystemsGlobleadership
1998	Video	.	1998_interview_nihf	NIHF Interview	https://archive.org/details/XD1756_2_98NIHFInterviewRoughCut
1999	Video	high-level about his career goal and how far we've come	1999_keynote_cscl	Boosting Collective IQ	https://archive.org/details/XD1606_99_BoostingCollID
2000	Video	.	2000_lecture_cadence	Cadence Design Systems Distinguished Speaker - "Open-Source Approach to Large-Scale System Evolution for Collective Knowledge Work"	https://archive.org/details/XD1607_2000DistSpkrSeries
2000	Video	.	2000_interview_entrepreneur	Silicon Valley Entrepreneur - An Interview With Doug Engelbart	https://archive.org/details/XD1892_SilliconVllyInnovHistModComp
2000	Video	http://dougengelbart.org/colloquium/sessions.html	2000_colloquium_stanford	Engelbart Colloquium	https://archive.org/details/000106EngelbartColloquiumPart1_201503
2001	Video	.	2001_presentation_mmets	Engelbart Talk to MMETS - "Facilitated Evolution of Collective IQ"	https://archive.org/details/XD1717_2001WPAFB_EngelbartTalkMMETS
2002	Video	https://drive.google.com/open?id=0B979i_9iBTwnSHZFbzltSGFlZlU	2002_interview_times	Douglas Engelbart Interviewed by John Markoff of the New York Times	https://www.youtube.com/watch?v=VeSgaJt27PM
2002	Document	.	2002_pub_byte	Improving Our Ability to Improve: A Call for Investment in a New Future	http://www.dougengelbart.org/pubs/augment-133320.html
2004	Video	https://drive.google.com/open?id=0B979i_9iBTwnUEU4eVVqZ1pLX3M	2004_lecture_google	Google, Collective IQ	https://archive.org/details/XD1955_04GooglePresCollIQ
2004	Document	.	2004_pub_hypertext	Augmenting Society's Collective IQ	http://www.dougengelbart.org/pubs/augment-133319.html
2004	Document	.	2004_news_wired	The Click Heard Around the World	http://www.wired.com/2004/01/mouse/
2008	Video	.	2008_discussion_stanford	Bootstrap Dialogs - Boosting Collective IQ Day #1-4	https://archive.org/details/XD1951_08_Bootsrap